neuron_id,spatial_entropy,temporal_entropy,mean_neural_entropy
cell1,10.850963,6.471460,0.260240
cell2,10.971594,6.502963,0.260240
cell3,10.992110,6.486952,0.260240
rat11015_t1c1,10.649773,6.514768,0.260240
rat11015_t2c1,10.920558,6.572859,0.260240
rat11015_t2c2,10.647931,6.465079,0.260240
rat11015_t5c1,10.900907,6.507519,0.260240
rat11015_t5c2,10.797352,6.470247,0.260240
rat11015_t5c3,10.823989,6.530288,0.260240
rat11015_t6c1,10.728238,6.415286,0.260240
rat11015_t7c1,10.935022,6.530964,0.260240
rat11015_t7c2,10.955446,6.534563,0.260240
rat11015_t7c3,11.005385,6.564456,0.260240
