PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
-4.989768862724304199e-01,-1.540742963552474976e-01,1.272341907024383545e-01,1.409044265747070312e-01,1.661883294582366943e-01,-2.770774364471435547e-01,-8.378715813159942627e-02,-2.277156896889209747e-02,-5.606405735015869141e-01,-1.921409368515014648e-01
4.341555014252662659e-02,-6.713945418596267700e-02,-1.393220782279968262e+00,1.023993849754333496e+00,5.070133686065673828e+00,-1.376586437225341797e+00,-2.916076183319091797e-01,8.125075697898864746e-01,2.942167758941650391e+00,1.147870302200317383e+00
2.092157602310180664e+00,-6.256380081176757812e-01,-1.221485614776611328e+00,-1.609257817268371582e+00,2.045370101928710938e+00,-3.203715085983276367e+00,6.415032148361206055e-01,2.445603609085083008e+00,1.882916450500488281e+00,2.761066675186157227e+00
-6.719450950622558594e-01,6.536843776702880859e-01,-2.020580321550369263e-01,2.013932228088378906e+00,-8.399983048439025879e-01,6.385713219642639160e-01,1.669502735137939453e+00,1.679054021835327148e+00,2.258175015449523926e-01,5.236375927925109863e-01
1.249327301979064941e+00,-7.228632271289825439e-02,2.342599630355834961e-01,1.274342834949493408e-01,1.265233159065246582e-01,1.040260121226310730e-01,-1.140786558389663696e-01,3.306189924478530884e-02,-4.442231059074401855e-01,-3.470231890678405762e-01
-1.979598701000213623e-01,-8.049482703208923340e-01,-2.982460975646972656e+00,1.366761922836303711e+00,-5.427778363227844238e-01,-1.396154642105102539e+00,-2.002403974533081055e+00,-1.230331420898437500e+00,1.820039868354797363e+00,1.991571784019470215e+00
-4.989768862724304199e-01,-1.540742963552474976e-01,1.272341907024383545e-01,1.409044265747070312e-01,1.661883294582366943e-01,-2.770774364471435547e-01,-8.378715813159942627e-02,-2.277156896889209747e-02,-5.606405735015869141e-01,-1.921409368515014648e-01
-4.989768862724304199e-01,-1.540742963552474976e-01,1.272341907024383545e-01,1.409044265747070312e-01,1.661883294582366943e-01,-2.770774364471435547e-01,-8.378715813159942627e-02,-2.277156896889209747e-02,-5.606405735015869141e-01,-1.921409368515014648e-01
-3.115374147891998291e-01,1.231821775436401367e+00,-8.418490737676620483e-02,-9.673380851745605469e-01,2.191205620765686035e-01,-6.083342060446739197e-02,-5.850027203559875488e-01,-6.793592125177383423e-02,4.213928710669279099e-03,4.208741337060928345e-02
3.134109258651733398e+00,1.391288399696350098e+00,8.861670494079589844e-01,-2.814897537231445312e+00,4.161662161350250244e-01,3.329835891723632812e+00,-1.487343788146972656e+00,-1.934285014867782593e-01,7.940314412117004395e-01,2.406679391860961914e+00
-3.115374147891998291e-01,1.231821775436401367e+00,-8.418490737676620483e-02,-9.673380851745605469e-01,2.191205620765686035e-01,-6.083342060446739197e-02,-5.850027203559875488e-01,-6.793592125177383423e-02,4.213928710669279099e-03,4.208741337060928345e-02
6.335684657096862793e-01,-4.069477915763854980e-01,1.806161254644393921e-01,5.338450670242309570e-01,-9.763098508119583130e-02,-5.477088093757629395e-01,-7.003282010555267334e-02,-5.084099993109703064e-02,-1.008153080940246582e+00,-1.466515660285949707e-01
1.437056183815002441e+00,1.308316111564636230e+00,-1.564361214637756348e+00,9.420114159584045410e-01,1.317521810531616211e+00,8.648474812507629395e-01,-2.056303501129150391e+00,-1.404513835906982422e+00,1.898806095123291016e+00,9.502217173576354980e-02
-3.469775021076202393e-01,1.344732165336608887e+00,6.997439861297607422e-01,-2.857572793960571289e+00,5.485518574714660645e-01,2.650718450546264648e+00,-1.444124221801757812e+00,-2.459027767181396484e-01,6.322898268699645996e-01,2.661859273910522461e+00
-3.115374147891998291e-01,1.231821775436401367e+00,-8.418490737676620483e-02,-9.673380851745605469e-01,2.191205620765686035e-01,-6.083342060446739197e-02,-5.850027203559875488e-01,-6.793592125177383423e-02,4.213928710669279099e-03,4.208741337060928345e-02
-4.989768862724304199e-01,-1.540742963552474976e-01,1.272341907024383545e-01,1.409044265747070312e-01,1.661883294582366943e-01,-2.770774364471435547e-01,-8.378715813159942627e-02,-2.277156896889209747e-02,-5.606405735015869141e-01,-1.921409368515014648e-01
-4.989768862724304199e-01,-1.540742963552474976e-01,1.272341907024383545e-01,1.409044265747070312e-01,1.661883294582366943e-01,-2.770774364471435547e-01,-8.378715813159942627e-02,-2.277156896889209747e-02,-5.606405735015869141e-01,-1.921409368515014648e-01
-5.131406784057617188e-01,-2.749792933464050293e-01,2.145797491073608398e+00,1.880102008581161499e-01,-5.639623403549194336e-01,-1.015784263610839844e+00,6.507768034934997559e-01,-1.321543574333190918e+00,1.455779194831848145e+00,-2.588812708854675293e-01
-4.989768862724304199e-01,-1.540742963552474976e-01,1.272341907024383545e-01,1.409044265747070312e-01,1.661883294582366943e-01,-2.770774364471435547e-01,-8.378715813159942627e-02,-2.277156896889209747e-02,-5.606405735015869141e-01,-1.921409368515014648e-01
1.436766743659973145e+00,1.313609838485717773e+00,2.284087240695953369e-02,-9.808081984519958496e-01,1.794555485248565674e-01,3.202700614929199219e-01,-6.152942180633544922e-01,-1.210244931280612946e-02,1.206314042210578918e-01,-1.127948239445686340e-01
-1.240979656577110291e-01,2.617717742919921875e+00,-2.956039905548095703e-01,-2.075580358505249023e+00,2.720527648925781250e-01,1.554105728864669800e-01,-1.086218118667602539e+00,-1.131002753973007202e-01,5.690683722496032715e-01,2.763157486915588379e-01
3.169549465179443359e+00,1.278378009796142578e+00,1.022382080554962158e-01,-9.246625304222106934e-01,8.673481643199920654e-02,6.182839274406433105e-01,-6.282222270965576172e-01,-1.546166278421878815e-02,1.659555286169052124e-01,-2.130924761295318604e-01
4.302384376525878906e+00,1.020210742950439453e+00,-1.431581974029541016e+00,1.391097903251647949e+00,9.609816074371337891e-01,8.922300338745117188e-01,-2.055477142333984375e+00,-1.435942530632019043e+00,1.496617674827575684e+00,4.021387919783592224e-02
-4.989768862724304199e-01,-1.540742963552474976e-01,1.272341907024383545e-01,1.409044265747070312e-01,1.661883294582366943e-01,-2.770774364471435547e-01,-8.378715813159942627e-02,-2.277156896889209747e-02,-5.606405735015869141e-01,-1.921409368515014648e-01
-3.109585642814636230e-01,1.221234321594238281e+00,-3.258589506149291992e+00,2.878301143646240234e+00,2.495253324508666992e+00,1.028321504592895508e+00,-3.467021703720092773e+00,-2.852758646011352539e+00,3.560563564300537109e+00,4.577214121818542480e-01
2.381872415542602539e+00,-3.251598179340362549e-01,2.876418828964233398e-01,5.203749537467956543e-01,-1.372959911823272705e-01,-1.666053086519241333e-01,-1.003243178129196167e-01,4.992471542209386826e-03,-8.917356133460998535e-01,-3.015338182449340820e-01
-2.357737720012664795e-01,1.215539097785949707e+00,-1.936769723892211914e+00,-2.184006214141845703e+00,3.900640606880187988e-01,7.482894062995910645e-01,2.150501966476440430e+00,-1.949809432029724121e+00,1.269078161567449570e-02,-2.103981822729110718e-01
-1.240979656577110291e-01,2.617717742919921875e+00,-2.956039905548095703e-01,-2.075580358505249023e+00,2.720527648925781250e-01,1.554105728864669800e-01,-1.086218118667602539e+00,-1.131002753973007202e-01,5.690683722496032715e-01,2.763157486915588379e-01
-3.115374147891998291e-01,1.231821775436401367e+00,-8.418490737676620483e-02,-9.673380851745605469e-01,2.191205620765686035e-01,-6.083342060446739197e-02,-5.850027203559875488e-01,-6.793592125177383423e-02,4.213928710669279099e-03,4.208741337060928345e-02
-5.128512382507324219e-01,-2.802730202674865723e-01,5.585951209068298340e-01,2.110830068588256836e+00,5.741040110588073730e-01,-4.712066948413848877e-01,-7.902327179908752441e-01,-2.713954925537109375e+00,3.233953714370727539e+00,-5.106427893042564392e-02
1.951255202293395996e-01,1.436960697174072266e+00,7.664911746978759766e-01,-3.897302865982055664e+00,4.314430713653564453e+00,1.006632208824157715e+00,-2.109351754188537598e-01,1.981787562370300293e+00,2.356923580169677734e+00,3.794053554534912109e+00
-4.986874461174011230e-01,-1.593680381774902344e-01,-1.459967970848083496e+00,2.063724040985107422e+00,1.304254651069641113e+00,2.675000727176666260e-01,-1.524796605110168457e+00,-1.415182948112487793e+00,1.217534184455871582e+00,1.567607186734676361e-02
-4.989768862724304199e-01,-1.540742963552474976e-01,1.272341907024383545e-01,1.409044265747070312e-01,1.661883294582366943e-01,-2.770774364471435547e-01,-8.378715813159942627e-02,-2.277156896889209747e-02,-5.606405735015869141e-01,-1.921409368515014648e-01
-4.989768862724304199e-01,-1.540742963552474976e-01,1.272341907024383545e-01,1.409044265747070312e-01,1.661883294582366943e-01,-2.770774364471435547e-01,-8.378715813159942627e-02,-2.277156896889209747e-02,-5.606405735015869141e-01,-1.921409368515014648e-01
4.312610998749732971e-02,-6.184570491313934326e-02,1.939813941717147827e-01,-8.988257050514221191e-01,3.932067632675170898e+00,-1.921163916587829590e+00,1.149401903152465820e+00,2.204918622970581055e+00,1.163993239402770996e+00,9.400534033775329590e-01
-4.989768862724304199e-01,-1.540742963552474976e-01,1.272341907024383545e-01,1.409044265747070312e-01,1.661883294582366943e-01,-2.770774364471435547e-01,-8.378715813159942627e-02,-2.277156896889209747e-02,-5.606405735015869141e-01,-1.921409368515014648e-01
-4.989768862724304199e-01,-1.540742963552474976e-01,1.272341907024383545e-01,1.409044265747070312e-01,1.661883294582366943e-01,-2.770774364471435547e-01,-8.378715813159942627e-02,-2.277156896889209747e-02,-5.606405735015869141e-01,-1.921409368515014648e-01
-3.115374147891998291e-01,1.231821775436401367e+00,-8.418490737676620483e-02,-9.673380851745605469e-01,2.191205620765686035e-01,-6.083342060446739197e-02,-5.850027203559875488e-01,-6.793592125177383423e-02,4.213928710669279099e-03,4.208741337060928345e-02
-4.986874461174011230e-01,-1.593680381774902344e-01,-1.459967970848083496e+00,2.063724040985107422e+00,1.304254651069641113e+00,2.675000727176666260e-01,-1.524796605110168457e+00,-1.415182948112487793e+00,1.217534184455871582e+00,1.567607186734676361e-02
-4.989768862724304199e-01,-1.540742963552474976e-01,1.272341907024383545e-01,1.409044265747070312e-01,1.661883294582366943e-01,-2.770774364471435547e-01,-8.378715813159942627e-02,-2.277156896889209747e-02,-5.606405735015869141e-01,-1.921409368515014648e-01
