UMAP1,UMAP2,UMAP3
1.174927353858947754e+00,-1.182438468933105469e+01,9.109477400779724121e-01
-5.496910810470581055e-01,7.674604415893554688e+00,2.123416423797607422e+00
-2.773516178131103516e-01,1.729626655578613281e+01,1.241576004028320312e+01
-1.630184364318847656e+01,-4.478124141693115234e+00,-2.459876537322998047e+00
-3.323666810989379883e+00,1.965160751342773438e+01,2.159736871719360352e+00
7.253623604774475098e-01,1.243140220642089844e+01,-2.366823911666870117e+00
1.043120002746582031e+01,9.432993888854980469e+00,1.175195407867431641e+01
1.017510128021240234e+01,-1.367652511596679688e+01,-4.202383518218994141e+00
1.556177330017089844e+01,1.305944538116455078e+01,-4.701572418212890625e+00
-5.640839934349060059e-01,1.088163948059082031e+01,1.766310882568359375e+01
1.176209449768066406e+00,-1.182307910919189453e+01,9.121996164321899414e-01
-7.075729370117187500e-01,1.071549224853515625e+01,1.759751701354980469e+01
1.381058979034423828e+01,4.503645896911621094e+00,-1.276302337646484375e+01
8.439796447753906250e+00,-1.447823905944824219e+01,1.922019124031066895e+00
-8.659726142883300781e+00,-7.094664096832275391e+00,-1.190775990486145020e+00
2.322543859481811523e+00,6.110030651092529297e+00,-2.426404714584350586e+00
-1.635539627075195312e+01,7.213415622711181641e+00,8.041584014892578125e+00
1.529646492004394531e+01,-1.165370941162109375e+01,5.954925537109375000e+00
-6.109781861305236816e-01,1.085926151275634766e+01,1.771442413330078125e+01
1.373433303833007812e+01,1.865303993225097656e+01,7.419901847839355469e+00
-2.359390497207641602e+00,-2.207171916961669922e+00,-1.804572677612304688e+01
-1.521778553724288940e-01,1.746069717407226562e+01,1.250455760955810547e+01
-6.224696159362792969e+00,1.382328319549560547e+01,-1.467747974395751953e+01
-2.359183549880981445e+00,-2.206995487213134766e+00,-1.804553413391113281e+01
-3.316737651824951172e+00,1.965856552124023438e+01,2.152842283248901367e+00
-4.285806655883789062e+00,-1.300605964660644531e+01,-1.409572243690490723e+00
-5.189512729644775391e+00,-4.416964530944824219e+00,-1.421640014648437500e+01
-1.159190082550048828e+01,5.416110515594482422e+00,1.463317298889160156e+01
3.963438510894775391e+00,-1.232020378112792969e+01,-9.633375167846679688e+00
1.386917018890380859e+01,-4.497056484222412109e+00,-1.458468723297119141e+01
-8.659579277038574219e+00,-7.094610691070556641e+00,-1.190716743469238281e+00
-1.181553268432617188e+01,-1.164331912994384766e+01,5.579217433929443359e+00
1.007663536071777344e+01,-1.116711425781250000e+01,1.000977706909179688e+01
1.483537006378173828e+01,-8.441387176513671875e+00,-5.925451278686523438e+00
-2.826382875442504883e+00,-1.277523708343505859e+01,-9.011113166809082031e+00
-2.359211206436157227e+00,-2.207049369812011719e+00,-1.804551696777343750e+01
-1.686883163452148438e+01,1.086601257324218750e+01,-2.893052339553833008e+00
6.347907543182373047e+00,1.119118309020996094e+01,-6.898783206939697266e+00
-5.976223468780517578e+00,1.409301185607910156e+01,-1.474479198455810547e+01
-3.264520406723022461e+00,1.971055221557617188e+01,2.100626230239868164e+00
-1.384199738502502441e+00,8.554904937744140625e+00,-3.069085121154785156e+00
1.562489414215087891e+01,1.312831401824951172e+01,-4.649126052856445312e+00
-8.378473281860351562e+00,1.031661891937255859e+01,7.105385780334472656e+00
1.556294822692871094e+01,1.305306243896484375e+01,-4.702701091766357422e+00
-9.786806106567382812e+00,1.388296127319335938e+01,2.421221017837524414e+00
1.559618854522705078e+01,1.310116386413574219e+01,-4.682354450225830078e+00
1.387094879150390625e+01,-4.497372150421142578e+00,-1.458334064483642578e+01
2.178414344787597656e+01,-4.065791606903076172e+00,-1.080941915512084961e+00
9.089794158935546875e+00,8.869850158691406250e+00,2.682554244995117188e+00
-6.762042045593261719e+00,1.925585937500000000e+01,-5.218062877655029297e+00
-9.835926055908203125e+00,1.395347213745117188e+01,2.454878568649291992e+00
-6.738310337066650391e+00,1.927076721191406250e+01,-5.209112167358398438e+00
1.049551105499267578e+01,9.487556457519531250e+00,1.171330833435058594e+01
2.062582015991210938e+01,1.236872792243957520e+00,3.818502426147460938e+00
-2.726887226104736328e+00,-9.371197223663330078e-02,1.459023952484130859e+01
1.562857437133789062e+01,1.312992477416992188e+01,-4.740959167480468750e+00
-8.383749961853027344e+00,1.032174873352050781e+01,7.110351562500000000e+00
-9.445523023605346680e-01,3.580496311187744141e-01,3.195949316024780273e+00
-2.234040021896362305e+00,4.098176211118698120e-02,1.424156761169433594e+01
-1.443043500185012817e-01,-1.283528518676757812e+01,1.383274936676025391e+01
-1.872255325317382812e+01,2.104616641998291016e+00,-1.266652822494506836e+00
-9.614324569702148438e+00,-3.363250017166137695e+00,-1.155790805816650391e+01
8.439356803894042969e+00,-1.447883415222167969e+01,1.921699285507202148e+00
-1.180566883087158203e+01,1.059637832641601562e+01,-8.059628486633300781e+00
-1.635553932189941406e+01,7.213513374328613281e+00,8.041724205017089844e+00
-2.728317737579345703e+00,-9.452315419912338257e-02,1.458833312988281250e+01
4.065513134002685547e+00,1.418886089324951172e+01,1.336539149284362793e+00
4.432332515716552734e+00,-1.510943794250488281e+01,7.978487968444824219e+00
1.553862476348876953e+01,6.241472721099853516e+00,6.113851070404052734e+00
9.435943603515625000e+00,1.238492107391357422e+01,-1.154360771179199219e+01
1.408878421783447266e+01,-2.165994167327880859e+00,1.471342658996582031e+01
1.640506362915039062e+01,-6.585044860839843750e+00,1.172673988342285156e+01
9.441307067871093750e+00,1.239036560058593750e+01,-1.154813480377197266e+01
3.964164972305297852e+00,-1.231945800781250000e+01,-9.633842468261718750e+00
4.197198867797851562e+00,6.321147441864013672e+00,-1.771217346191406250e+01
1.529630756378173828e+01,-1.165364456176757812e+01,5.954243659973144531e+00
9.056484222412109375e+00,8.249371528625488281e+00,-1.061388206481933594e+01
8.685832023620605469e+00,1.889790916442871094e+01,-3.308834791183471680e+00
-6.233314990997314453e+00,1.381423759460449219e+01,-1.468342971801757812e+01
-6.353566169738769531e+00,-6.854165554046630859e+00,2.891253709793090820e+00
1.408926582336425781e+01,-2.166502475738525391e+00,1.471391105651855469e+01
4.407404899597167969e+00,6.519685268402099609e+00,-1.788052558898925781e+01
4.430418491363525391e+00,6.552145481109619141e+00,-1.788857078552246094e+01
7.186185717582702637e-01,3.431965351104736328e+00,-1.118458271026611328e+00
1.561484813690185547e+01,1.311630344390869141e+01,-4.660051345825195312e+00
-5.977726459503173828e+00,1.399873161315917969e+01,-1.436974906921386719e+01
-1.113614559173583984e+01,-1.173950135707855225e-01,-4.694167137145996094e+00
4.376416683197021484e+00,6.495367527008056641e+00,-1.785392761230468750e+01
1.870707130432128906e+01,-7.002867698669433594e+00,4.740326881408691406e+00
-1.035553741455078125e+01,-8.518353462219238281e+00,-7.954199314117431641e+00
1.529534149169921875e+01,-1.165170574188232422e+01,5.955987453460693359e+00
-1.630173683166503906e+01,-4.478002071380615234e+00,-2.459759473800659180e+00
1.771805000305175781e+01,-3.464561104774475098e-01,-4.594570159912109375e+00
-5.940243601799011230e-01,1.086709690093994141e+01,1.769477844238281250e+01
1.483459854125976562e+01,-8.440791130065917969e+00,-5.926167964935302734e+00
-1.686988449096679688e+01,1.086817646026611328e+01,-2.895338773727416992e+00
8.133698463439941406e+00,-1.521614193916320801e-01,1.636328315734863281e+01
1.551463127136230469e+01,1.301293754577636719e+01,-4.749886035919189453e+00
1.073445510864257812e+01,4.724373340606689453e+00,1.833827781677246094e+01
-1.240988636016845703e+01,-2.440172195434570312e+00,4.212469577789306641e+00
-1.096791934967041016e+01,2.531815290451049805e+00,-1.594315719604492188e+01
1.965748977661132812e+01,2.577716112136840820e+00,-1.444195270538330078e+01
-5.234210491180419922e+00,5.463559150695800781e+00,-1.834811210632324219e+01
6.280286788940429688e+00,4.666727542877197266e+00,6.320773124694824219e+00
-9.511512517929077148e-01,1.245506644248962402e+00,2.249649429321289062e+01
-6.038404464721679688e+00,1.406114292144775391e+01,-1.478026103973388672e+01
2.381481409072875977e+00,3.702913999557495117e+00,1.584459662437438965e+00
4.433723449707031250e+00,-1.511085224151611328e+01,7.977095603942871094e+00
-5.928523540496826172e+00,1.414732837677001953e+01,-1.485428142547607422e+01
-5.189481735229492188e+00,-4.416996002197265625e+00,-1.421636676788330078e+01
1.049529457092285156e+01,9.487734794616699219e+00,1.171401119232177734e+01
1.561797046661376953e+01,1.312249565124511719e+01,-4.652216434478759766e+00
-1.005519032478332520e-01,1.751151275634765625e+01,1.259169960021972656e+01
1.557488632202148438e+01,1.307358837127685547e+01,-4.704343795776367188e+00
-5.229285717010498047e+00,1.097812557220458984e+01,-5.190367698669433594e+00
-9.604902565479278564e-02,1.729991531372070312e+01,1.236220455169677734e+01
1.870857048034667969e+01,-7.004047870635986328e+00,4.741578578948974609e+00
3.882543325424194336e+00,5.115909576416015625e+00,-2.052503347396850586e+00
2.108042716979980469e+01,8.055470466613769531e+00,8.828485488891601562e+00
-3.273055076599121094e+00,1.970203590393066406e+01,2.109199285507202148e+00
-1.385290175676345825e-01,1.746870040893554688e+01,1.230557632446289062e+01
9.910842895507812500e+00,9.271647453308105469e+00,1.112484169006347656e+01
-1.630137634277343750e+01,-4.477657318115234375e+00,-2.459393978118896484e+00
-8.660956382751464844e+00,-7.096294879913330078e+00,-1.192410349845886230e+00
-1.635605049133300781e+01,7.213968753814697266e+00,8.042243003845214844e+00
-6.718700885772705078e+00,-8.089987754821777344e+00,1.713496017456054688e+01
4.431741714477539062e+00,-1.510892868041992188e+01,7.978983879089355469e+00
9.089149475097656250e+00,8.076429367065429688e+00,-1.083071613311767578e+01
-3.088482320308685303e-01,1.727017974853515625e+01,1.237938785552978516e+01
-1.369671940803527832e+00,-6.081542491912841797e+00,-9.090885162353515625e+00
-4.285707950592041016e+00,-1.300597667694091797e+01,-1.409844160079956055e+00
-5.189347743988037109e+00,-4.417128562927246094e+00,-1.421621990203857422e+01
1.516600322723388672e+01,9.739925861358642578e-01,7.788144111633300781e+00
-5.892512321472167969e+00,1.416554069519042969e+01,-1.484695720672607422e+01
1.073442745208740234e+01,4.724341869354248047e+00,1.833823776245117188e+01
1.359077167510986328e+01,1.830886459350585938e+01,7.995670318603515625e+00
-3.280935287475585938e+00,1.969400787353515625e+01,2.117054224014282227e+00
-4.286705493927001953e+00,-1.300597381591796875e+01,-1.409626722335815430e+00
1.007632160186767578e+01,-1.116757202148437500e+01,1.000946140289306641e+01
9.432774543762207031e+00,1.238158130645751953e+01,-1.154180335998535156e+01
9.045876502990722656e+00,8.122857093811035156e+00,-1.077369689941406250e+01
8.460684776306152344e+00,1.785642623901367188e+01,-2.828239440917968750e+00
-3.317467927932739258e+00,1.965780258178710938e+01,2.153553247451782227e+00
-4.286784172058105469e+00,-1.300605487823486328e+01,-1.409603714942932129e+00
1.494427800178527832e+00,2.336043930053710938e+01,-7.026233673095703125e+00
2.794550895690917969e+00,-9.140657424926757812e+00,-1.534952259063720703e+01
-1.113648796081542969e+01,-1.175236701965332031e-01,-4.694143295288085938e+00
-1.096766090393066406e+01,2.531481981277465820e+00,-1.594350147247314453e+01
1.898657989501953125e+01,3.703811168670654297e+00,1.294417285919189453e+01
7.590521335601806641e+00,9.678596496582031250e+00,-2.752166986465454102e+00
1.381028652191162109e+01,1.861656188964843750e+01,7.567368984222412109e+00
1.384005260467529297e+01,1.855375289916992188e+01,7.767632484436035156e+00
1.563675022125244141e+01,1.313810348510742188e+01,-4.738656520843505859e+00
-6.740677833557128906e+00,1.927191352844238281e+01,-5.214185714721679688e+00
1.386871147155761719e+01,-4.495763778686523438e+00,-1.458486938476562500e+01
-1.201521015167236328e+01,5.059372186660766602e-01,1.043301486968994141e+01
4.018630504608154297e+00,-5.387774467468261719e+00,7.320561885833740234e+00
1.898672103881835938e+01,3.703686237335205078e+00,1.294416713714599609e+01
-8.659023284912109375e+00,-7.096525192260742188e+00,-1.192651748657226562e+00
1.483479976654052734e+01,-8.440769195556640625e+00,-5.925871849060058594e+00
1.870895957946777344e+01,-7.004129886627197266e+00,4.741034030914306641e+00
