nan,nan,nan,nan,nan,nan,nan,nan,5.9669,7.1566,8.2395,9.1918,9.9937,10.5448,10.5435,9.5616,7.5481,5.1534,3.1672,1.8933,1.2121,0.9023,0.8112,0.8835,1.1494,1.6777,2.4261,3.1656,3.6874,3.9110,3.8194,3.4524,2.9586,2.6015,2.5998,2.9034,3.2470,3.4051,3.2866,2.8840,2.2664,1.6197,1.1261,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,3.8047,5.0413,6.2610,7.3573,8.2833,9.0304,9.5413,9.5732,8.7170,6.8769,4.6587,2.8287,1.6754,1.0774,0.8215,0.7660,0.8672,1.1727,1.7745,2.6262,3.4361,3.9447,4.0752,3.8427,3.3336,2.7389,2.3207,2.2490,2.4463,2.6726,2.7388,2.5873,2.2507,1.8140,1.3838,1.0324,0.7737,0.5882,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,1.9547,2.9124,4.0675,5.2804,6.3923,7.3041,7.9884,8.4141,8.4068,7.6288,5.9870,4.0215,2.4204,1.4317,0.9382,0.7476,0.7372,0.8818,1.2556,1.9874,3.0215,3.9570,4.4478,4.4304,3.9823,3.2685,2.5374,2.0399,1.8885,1.9844,2.1224,2.1607,2.0691,1.8684,1.5870,1.2724,0.9822,0.7492,0.5756,0.4544,nan,nan,nan,nan
nan,nan,nan,nan,nan,0.8959,1.3948,2.1369,3.1246,4.2598,5.3630,6.2704,6.9040,7.2321,7.1470,6.4249,5.0228,3.3828,2.0560,1.2426,0.8502,0.7222,0.7623,0.9686,1.4487,2.3714,3.6553,4.7547,5.2252,5.0321,4.3329,3.3810,2.4803,1.8746,1.6387,1.6647,1.7732,1.8438,1.8317,1.7133,1.4894,1.2109,0.9434,0.7244,0.5608,0.4467,0.3704,nan,nan,nan
nan,nan,nan,nan,0.4952,0.6789,0.9997,1.5162,2.2701,3.2278,4.2414,5.1056,5.6712,5.8815,5.6972,5.0459,3.9588,2.7316,1.7279,1.1039,0.8149,0.7558,0.8639,1.1674,1.8140,3.0020,4.5813,5.8439,6.2780,5.8997,4.9400,3.7226,2.6052,1.8490,1.5224,1.5127,1.6372,1.7543,1.7778,1.6643,1.4345,1.1590,0.9024,0.6964,0.5463,0.4467,0.3902,nan,nan,nan
nan,nan,nan,nan,0.4968,0.5837,0.7665,1.0901,1.6013,2.3106,3.1305,3.8669,4.3196,4.3980,4.1261,3.5757,2.8401,2.0630,1.4143,1.0023,0.8351,0.8675,1.0772,1.5279,2.4043,3.8927,5.7121,7.0388,7.3944,6.8651,5.7111,4.2668,2.9236,1.9968,1.5888,1.5771,1.7325,1.8576,1.8412,1.6672,1.3965,1.1093,0.8595,0.6686,0.5384,0.4643,0.4433,0.4794,nan,nan
nan,nan,nan,0.5593,0.5601,0.5870,0.6760,0.8625,1.1804,1.6467,2.2171,2.7481,3.0490,3.0206,2.7238,2.2989,1.8542,1.4463,1.1231,0.9396,0.9280,1.0889,1.4376,2.0676,3.1698,4.8480,6.6810,7.8761,8.0993,7.4988,6.3133,4.8176,3.3804,2.3715,1.9493,1.9664,2.1166,2.1584,2.0097,1.7187,1.3803,1.0691,0.8221,0.6490,0.5475,0.5142,0.5494,0.6583,nan,nan
nan,nan,0.5714,0.6137,0.6333,0.6497,0.6983,0.8154,1.0259,1.3327,1.6989,2.0264,2.1807,2.0890,1.8143,1.4883,1.2055,1.0043,0.9052,0.9326,1.1018,1.4155,1.9028,2.6633,3.8482,5.4522,7.0215,7.9356,8.0047,7.3972,6.3274,5.0193,3.7889,2.9880,2.7492,2.8466,2.9089,2.7281,2.3320,1.8547,1.4102,1.0544,0.8019,0.6489,0.5877,0.6126,0.7198,0.8999,1.1341,nan
nan,0.4601,0.5379,0.6077,0.6649,0.7152,0.7857,0.9154,1.1280,1.4086,1.7034,1.9310,2.0014,1.8663,1.5766,1.2500,0.9827,0.8280,0.8235,0.9907,1.3088,1.7402,2.2971,3.0593,4.1149,5.4002,6.5629,7.1822,7.1304,6.5495,5.6541,4.6859,3.9502,3.7124,3.9424,4.2524,4.2023,3.6785,2.9042,2.1419,1.5263,1.0881,0.8142,0.6822,0.6723,0.7663,0.9395,1.1534,1.3625,1.5231
0.3631,0.4240,0.4915,0.5649,0.6453,0.7406,0.8778,1.0999,1.4267,1.8147,2.1827,2.4555,2.5628,2.4414,2.1001,1.6555,1.2505,0.9843,0.9244,1.1008,1.4637,1.9290,2.4714,3.1232,3.9065,4.7622,5.5047,5.8849,5.7766,5.2694,4.5904,4.0312,3.8923,4.3162,5.1065,5.7659,5.7666,4.9782,3.7874,2.6494,1.7774,1.1995,0.8767,0.7604,0.8042,0.9586,1.1645,1.3582,1.4915,1.5474
0.3659,0.4079,0.4577,0.5190,0.6013,0.7250,0.9340,1.2888,1.8012,2.3812,2.9171,3.3546,3.6451,3.6876,3.3913,2.8128,2.1453,1.5824,1.2632,1.2588,1.5242,1.9400,2.4171,2.9083,3.3810,3.8220,4.1992,4.3969,4.2903,3.9162,3.5034,3.3639,3.7448,4.6601,5.8315,6.7809,6.9867,6.2210,4.8204,3.3565,2.1870,1.4118,1.0018,0.8833,0.9664,1.1527,1.3480,1.4825,1.5242,1.4921
