nan,nan,nan,nan,nan,nan,nan,nan,nan,2.7626,2.0161,1.2771,0.7480,0.4816,0.4138,0.4469,0.5084,0.5798,0.6807,0.8279,1.0097,1.1898,1.3287,1.4156,1.4773,1.5352,1.5656,1.5211,1.3694,1.1216,0.8466,0.6459,0.5853,0.6647,0.8497,1.1089,1.4347,1.8390,2.3007,2.6946,2.8140,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,4.1098,4.0605,3.6769,2.9038,1.9495,1.1418,0.6537,0.4555,0.4356,0.4904,0.5643,0.6536,0.7726,0.9162,1.0563,1.1624,1.2314,1.2943,1.3705,1.4300,1.4158,1.2880,1.0579,0.8040,0.6352,0.6138,0.7351,0.9650,1.2775,1.6660,2.1146,2.5312,2.7305,2.5679,2.1026,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,4.4110,4.5515,4.6436,4.4588,3.7901,2.7158,1.6387,0.8972,0.5352,0.4395,0.4861,0.5815,0.6741,0.7543,0.8236,0.8742,0.8979,0.9087,0.9436,1.0234,1.1187,1.1634,1.0982,0.9227,0.7225,0.6119,0.6484,0.8245,1.1090,1.4757,1.9016,2.3225,2.5918,2.5487,2.1830,1.6596,1.1605,0.7760,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,4.8073,4.7776,4.8839,5.0328,5.0099,4.5101,3.4250,2.1378,1.1612,0.6482,0.4944,0.5661,0.7475,0.9180,0.9931,0.9659,0.8712,0.7502,0.6449,0.5936,0.6149,0.6953,0.7870,0.8213,0.7596,0.6541,0.6079,0.6845,0.8919,1.2066,1.5925,1.9970,2.3173,2.4051,2.1834,1.7459,1.2701,0.8775,0.6038,0.4363,nan,nan,nan,nan,nan
nan,nan,nan,nan,5.5775,5.2941,5.1533,5.1638,5.2734,5.3146,4.9645,3.9542,2.5510,1.3977,0.7836,0.6301,0.8019,1.1649,1.5117,1.6358,1.4983,1.2069,0.8904,0.6339,0.4721,0.4081,0.4343,0.5352,0.6673,0.7565,0.7681,0.7575,0.8072,0.9652,1.2307,1.5614,1.8816,2.0757,2.0300,1.7419,1.3410,0.9690,0.6964,0.5318,0.4566,0.4442,nan,nan,nan,nan
nan,nan,nan,6.4853,6.1108,5.7783,5.5380,5.4213,5.4090,5.3842,5.0718,4.1519,2.7559,1.5460,0.9246,0.8550,1.1988,1.7821,2.3104,2.4825,2.2307,1.7301,1.2072,0.7984,0.5379,0.4119,0.4106,0.5403,0.7881,1.0593,1.2191,1.2329,1.1785,1.1598,1.2409,1.4121,1.5985,1.6881,1.5946,1.3400,1.0384,0.7920,0.6437,0.5922,0.6148,0.6777,nan,nan,nan,nan
nan,nan,6.9516,6.7066,6.4361,6.1465,5.8713,5.6454,5.4675,5.2586,4.8198,3.9118,2.6303,1.5387,1.0410,1.1357,1.6772,2.4395,3.0777,3.2652,2.9216,2.2528,1.5540,1.0106,0.6660,0.4999,0.5049,0.7096,1.1228,1.6258,1.9896,2.0644,1.8734,1.5723,1.3478,1.2788,1.3107,1.3309,1.2527,1.0818,0.8997,0.7835,0.7644,0.8316,0.9456,1.0569,1.1373,nan,nan,nan
nan,nan,6.6750,6.5355,6.3976,6.2297,6.0160,5.7533,5.4243,4.9671,4.2720,3.2760,2.1640,1.3444,1.0846,1.3858,2.1073,2.9935,3.6875,3.8746,3.4758,2.7009,1.8747,1.2210,0.8044,0.6133,0.6537,0.9772,1.6022,2.3718,2.9717,3.1381,2.8070,2.1743,1.5904,1.2626,1.1592,1.1486,1.1199,1.0467,0.9828,0.9935,1.0986,1.2618,1.4175,1.5200,1.5807,1.6583,nan,nan
nan,6.1101,6.0309,5.9715,5.9362,5.8991,5.8089,5.5984,5.1893,4.5103,3.5599,2.4903,1.5786,1.0616,1.0431,1.5215,2.3839,3.3643,4.0958,4.2787,3.8538,3.0313,2.1336,1.4014,0.9291,0.7296,0.8305,1.3003,2.1482,3.1702,3.9830,4.2316,3.7708,2.8257,1.9059,1.3563,1.1687,1.1777,1.2325,1.2691,1.3183,1.4345,1.6150,1.7944,1.9102,1.9623,2.0094,2.1256,2.3763,nan
4.7952,4.9604,5.0315,5.0635,5.1035,5.1591,5.1840,5.0713,4.6744,3.8976,2.8477,1.8397,1.1482,0.8611,0.9921,1.5634,2.5059,3.5461,4.2883,4.4428,3.9926,3.1646,2.2578,1.4993,1.0047,0.8203,0.9956,1.6014,2.6200,3.8062,4.7364,5.0092,4.4470,3.2983,2.1630,1.4838,1.2825,1.3682,1.5484,1.7157,1.8660,2.0296,2.1875,2.2873,2.3196,2.3380,2.4176,2.6110,2.9417,3.3404
