birth,death
2.012079477310180664e+00,2.183938503265380859e+00
1.971079826354980469e+00,1.990469694137573242e+00
1.841861367225646973e+00,2.034316062927246094e+00
1.819938540458679199e+00,2.130818367004394531e+00
1.753485441207885742e+00,1.769117951393127441e+00
1.738709807395935059e+00,1.745514392852783203e+00
1.734060168266296387e+00,1.746706247329711914e+00
1.719118714332580566e+00,2.000460147857666016e+00
1.587211012840270996e+00,1.695774793624877930e+00
1.573256015777587891e+00,1.618486404418945312e+00
1.543540000915527344e+00,1.617341876029968262e+00
1.426103591918945312e+00,1.638986587524414062e+00
1.417105197906494141e+00,1.906704068183898926e+00
1.401790618896484375e+00,1.609393119812011719e+00
1.358731269836425781e+00,1.538582921028137207e+00
1.358731269836425781e+00,1.565786600112915039e+00
1.358731269836425781e+00,1.617341756820678711e+00
1.323968529701232910e+00,1.426103591918945312e+00
1.292365908622741699e+00,1.617341756820678711e+00
1.235850572586059570e+00,1.476629853248596191e+00
1.165680170059204102e+00,1.270845055580139160e+00
1.163209795951843262e+00,1.214265823364257812e+00
9.604742527008056641e-01,1.161659836769104004e+00
9.515559077262878418e-01,1.620502829551696777e+00
8.892836570739746094e-01,1.206918597221374512e+00
8.892835974693298340e-01,1.165680050849914551e+00
8.035776019096374512e-01,1.035120487213134766e+00
7.830197215080261230e-01,7.958539128303527832e-01
7.743417620658874512e-01,9.962686896324157715e-01
7.102234363555908203e-01,7.453756332397460938e-01
7.102233171463012695e-01,8.309798836708068848e-01
7.028762102127075195e-01,9.699888825416564941e-01
