birth,death
1.015898609161376953e+01,1.075847625732421875e+01
1.011827754974365234e+01,1.136837482452392578e+01
9.534466743469238281e+00,1.125000572204589844e+01
9.448434829711914062e+00,1.068903541564941406e+01
9.434938430786132812e+00,1.006076717376708984e+01
9.298150062561035156e+00,1.081274509429931641e+01
9.149744033813476562e+00,9.827292442321777344e+00
9.118153572082519531e+00,1.221853351593017578e+01
9.106126785278320312e+00,9.827943801879882812e+00
9.073600769042968750e+00,9.707900047302246094e+00
9.026539802551269531e+00,9.662573814392089844e+00
8.936511039733886719e+00,9.121973991394042969e+00
8.825432777404785156e+00,9.116437911987304688e+00
8.823739051818847656e+00,1.121472358703613281e+01
8.706804275512695312e+00,9.050372123718261719e+00
8.647269248962402344e+00,9.347755432128906250e+00
8.638502120971679688e+00,9.722106933593750000e+00
8.623160362243652344e+00,9.253948211669921875e+00
8.565455436706542969e+00,8.761577606201171875e+00
8.549554824829101562e+00,9.296682357788085938e+00
8.511842727661132812e+00,9.985881805419921875e+00
8.425757408142089844e+00,1.242768478393554688e+01
8.407217979431152344e+00,9.075104713439941406e+00
8.397541046142578125e+00,8.861422538757324219e+00
8.396108627319335938e+00,1.088866710662841797e+01
8.382397651672363281e+00,1.006022357940673828e+01
8.334571838378906250e+00,8.437705993652343750e+00
8.266178131103515625e+00,8.306106567382812500e+00
8.241918563842773438e+00,1.154770183563232422e+01
8.203405380249023438e+00,9.552907943725585938e+00
8.193936347961425781e+00,9.264492034912109375e+00
8.156661987304687500e+00,8.189441680908203125e+00
8.148510932922363281e+00,9.213056564331054688e+00
8.099629402160644531e+00,8.222542762756347656e+00
8.000703811645507812e+00,9.085639953613281250e+00
7.990568637847900391e+00,8.943299293518066406e+00
7.989442348480224609e+00,1.170624542236328125e+01
7.971536636352539062e+00,1.029194259643554688e+01
7.924689292907714844e+00,9.040421485900878906e+00
7.891659736633300781e+00,8.156593322753906250e+00
7.863941192626953125e+00,8.163372993469238281e+00
7.781641006469726562e+00,9.230003356933593750e+00
7.767668247222900391e+00,9.230673789978027344e+00
7.703604221343994141e+00,7.718937873840332031e+00
7.687681198120117188e+00,8.906314849853515625e+00
7.659433841705322266e+00,8.391039848327636719e+00
7.645640373229980469e+00,8.888698577880859375e+00
7.613471508026123047e+00,9.085639953613281250e+00
7.599141597747802734e+00,8.781756401062011719e+00
7.593496799468994141e+00,9.070486068725585938e+00
7.579596519470214844e+00,1.015861606597900391e+01
7.561721324920654297e+00,8.560482025146484375e+00
7.499605178833007812e+00,9.217156410217285156e+00
7.472463130950927734e+00,9.285551071166992188e+00
7.450816154479980469e+00,8.781756401062011719e+00
7.444771289825439453e+00,9.002418518066406250e+00
7.427180290222167969e+00,9.318512916564941406e+00
7.404659748077392578e+00,7.784667491912841797e+00
7.339564800262451172e+00,8.165481567382812500e+00
7.315943717956542969e+00,9.756129264831542969e+00
7.273987293243408203e+00,8.728584289550781250e+00
7.232172012329101562e+00,9.410614967346191406e+00
7.165587902069091797e+00,8.560482025146484375e+00
7.142382144927978516e+00,8.081435203552246094e+00
7.129076004028320312e+00,9.232231140136718750e+00
7.114681720733642578e+00,1.037956047058105469e+01
7.054067611694335938e+00,1.042488193511962891e+01
7.051073074340820312e+00,8.058488845825195312e+00
7.030009269714355469e+00,8.360307693481445312e+00
6.913675308227539062e+00,8.061329841613769531e+00
6.622704029083251953e+00,7.277126789093017578e+00
6.243069648742675781e+00,7.233232021331787109e+00
5.489653110504150391e+00,5.544191837310791016e+00
4.973413467407226562e+00,5.274892807006835938e+00
4.773170948028564453e+00,4.826869010925292969e+00
4.672602176666259766e+00,5.010299682617187500e+00
4.173463344573974609e+00,6.284882068634033203e+00
3.862863302230834961e+00,4.165066719055175781e+00
3.434363842010498047e+00,3.867841482162475586e+00
2.352945327758789062e+00,2.462549448013305664e+00
2.331388950347900391e+00,2.686938047409057617e+00
1.934205889701843262e-01,2.041225135326385498e-01
1.928395777940750122e-01,1.981382668018341064e-01
1.445838510990142822e-01,1.602959334850311279e-01
